"Timestamp","Put these libraries in the order from the most preferable to the least: [1 (most preferable)]","Put these libraries in the order from the most preferable to the least: [2]","Put these libraries in the order from the most preferable to the least: [3]","Put these libraries in the order from the most preferable to the least: [4]","Put these libraries in the order from the most preferable to the least: [5 (least preferable)]","Please explain why you chose such an answer. What metrics (list 3-5) were you based on?","Select at least 2 options:","Your full name:","Your working position or company:","Your working experience:","How many bugs have you reported for the last year?","Where to send the results of our research? (Your Telegram, Mail etc.)"
"2023/11/19 7:29:36 PM GMT+3","SWXMLHash","Fuzi","libexpat","xgen","quick-xml","Considering that functionality is the same for all of them, and that my project doesn't depend on language of lib, I would choose the freshest library with the lowest amount of code (because it directly affects maintainability of lib), and then take a look at amount of stars.","Better explain how to reproduce it","","Tech Lead of Frontend Dev","4+ years","~10",""
"2023/11/19 10:09:20 PM GMT+3","SWXMLHash","Fuzi","quick-xml","xgen","libexpat","Слишком мало инфы для выбора. Я в таких случаях заглядываю в код и выбираю более понятную библиотеку. В случае проблем чтобы можно было самим фиксить баги.

В данной таблице выбор пал на более новые библиотеки с не слишком большой кодовой базой. Вероятно не спроста делали еще одну библиотеку. Количество звездочек влияет, но не в первую очередь. Смотрю чисто для понимания сколько людей этим пользуются. Ну и форки тоже хороший показатель. Чем их больше, тем чаще пользуются библиотекой","Better explain how to reproduce it;Read user manual, maybe you do something wrong","","iOS dev","13","-",""
"2023/11/20 2:57:10 AM GMT+3","quick-xml","libexpat","SWXMLHash","Fuzi","xgen","Last commit date, lines of code, primary programming language and stars.","Read user manual, maybe you do something wrong;Better explain how to reproduce it;Get rid of the redundant 3--minute video","","","","",""
"2023/11/20 2:14:33 PM GMT+3","libexpat","quick-xml","SWXMLHash","Fuzi","xgen","libexpat has many contributors and closed bug reports, it's also written in many lines of C and is quite popular, all such metrics indicate an efficient l, well-written , popular and maintained library.","Better explain how to reproduce it;Read user manual, maybe you do something wrong;Specify its priority and severity;Get rid of the redundant 3--minute video","","DevOps Engineer","~1 year","",""
"2023/11/20 11:09:53 PM GMT+3","quick-xml","SWXMLHash","xgen","Fuzi","libexpat","Release date and last commit is primary metrics (old project which still have regular updates looks good). Secondary: how hard is it to read source code (language and lines of code). Anyway main metric is out of scope: how many projects use library.","Specify its priority and severity;Better explain how to reproduce it","","Software Developer","","",""
"2023/11/29 3:31:23 PM GMT+3","libexpat","xgen","quick-xml","Fuzi","SWXMLHash","Based on amount of starts, lines of code and implementation language","Better explain how to reproduce it;Specify its priority and severity","","","","",""
"2023/11/29 3:31:33 PM GMT+3","libexpat","xgen","quick-xml","SWXMLHash","Fuzi","Language performance, maintainers' support, popularity","Specify its priority and severity;Get rid of the redundant 3--minute video","","junior Inforamtion Security Specialist","2 months","around 5",""
"2023/11/29 3:41:49 PM GMT+3","libexpat","SWXMLHash","quick-xml","Fuzi","xgen","Primary programming language, number of stars, last commit and number of contributors","Better explain how to reproduce it;Specify its priority and severity","","","","",""
"2023/11/29 3:49:39 PM GMT+3","SWXMLHash","Fuzi","libexpat","xgen","quick-xml","Closed bug reports doesn’t mean anything because this usually depends on the programming language.
Stars is a good metric which I prefer.
Lines of code also doesn’t mean anything.
Release date - I won't choose something to old or to young.
Language depends on my purposes.
Other metrics also don't mean anything to me.
","Read user manual, maybe you do something wrong;Better explain how to reproduce it;Get rid of the redundant 3--minute video","","","","",""
"2023/11/29 4:12:07 PM GMT+3","quick-xml","xgen","libexpat","SWXMLHash","Fuzi","1. There should be a familiar language
2. Amount of forks + stars
3. Last commit + release date + closed bug reports
4. Amount of contributors + closed issues","Read user manual, maybe you do something wrong;Better explain how to reproduce it;Specify its priority and severity","","","","",""
